OrderKey,OrderId,StoreId,CustomerId,CustomerIp,OrderStatusId,CreatedOnUtc,OrderSubTotalExclTax,OrderSubTotalInclTax,OrderTotal,OrderItemId,ProductId,Quantity,UnitPriceInclTax,UnitPriceExclTax,IsPickupInstore
41,12,1,1,192.168.0.1,30,2020-04-10 06:33:37.603,289.13,309.09,309.09,42,673,1,12.49,12.49,False
42,12,1,1,192.168.0.1,30,2020-04-10 06:33:37.603,289.13,309.09,309.09,43,652,1,12.49,12.49,False
43,12,1,1,192.168.0.1,30,2020-04-10 06:33:37.603,289.13,309.09,309.09,44,1051,1,9.99,9.99,False
44,12,1,1,192.168.0.1,30,2020-04-10 06:33:37.603,289.13,309.09,309.09,45,1150,1,9.36,9.36,False
45,12,1,1,192.168.0.1,30,2020-04-10 06:33:37.603,289.13,309.09,309.09,46,1807,1,1.36,1.36,False
46,12,1,1,192.168.0.1,30,2020-04-10 06:33:37.603,289.13,309.09,309.09,47,1394,1,1.36,1.36,False
47,12,1,1,192.168.0.1,30,2020-04-10 06:33:37.603,289.13,309.09,309.09,48,1673,1,16.24,16.24,False
48,12,1,1,192.168.0.1,30,2020-04-10 06:33:37.603,289.13,309.09,309.09,49,462,1,9.99,9.99,False
49,12,1,1,192.168.0.1,30,2020-04-10 06:33:37.603,289.13,309.09,309.09,50,1201,1,5.41,4.79,False
50,12,1,1,192.168.0.1,30,2020-04-10 06:33:37.603,289.13,309.09,309.09,51,456,1,3.51,3.11,False
51,12,1,1,192.168.0.1,30,2020-04-10 06:33:37.603,289.13,309.09,309.09,52,472,1,3.51,3.11,False
52,12,1,1,192.168.0.1,30,2020-04-10 06:33:37.603,289.13,309.09,309.09,53,1932,1,7.85,6.95,False
53,12,1,1,192.168.0.1,30,2020-04-10 06:33:37.603,289.13,309.09,309.09,54,2253,1,5.41,4.79,False
54,12,1,1,192.168.0.1,30,2020-04-10 06:33:37.603,289.13,309.09,309.09,55,1992,1,4.06,3.59,False
55,12,1,1,192.168.0.1,30,2020-04-10 06:33:37.603,289.13,309.09,309.09,56,1105,1,6.77,5.99,False
56,12,1,1,192.168.0.1,30,2020-04-10 06:33:37.603,289.13,309.09,309.09,57,967,1,3.51,3.11,False
57,12,1,1,192.168.0.1,30,2020-04-10 06:33:37.603,289.13,309.09,309.09,58,1846,1,1.34,1.19,False
58,12,1,1,192.168.0.1,30,2020-04-10 06:33:37.603,289.13,309.09,309.09,59,539,2,3.11,3.11,False
59,12,1,1,192.168.0.1,30,2020-04-10 06:33:37.603,289.13,309.09,309.09,60,169,1,4.99,4.99,False
60,12,1,1,192.168.0.1,30,2020-04-10 06:33:37.603,289.13,309.09,309.09,61,801,1,1.86,1.86,False
61,12,1,1,192.168.0.1,30,2020-04-10 06:33:37.603,289.13,309.09,309.09,62,431,1,5.61,5.61,False
62,12,1,1,192.168.0.1,30,2020-04-10 06:33:37.603,289.13,309.09,309.09,63,1585,1,2.49,2.49,False
63,12,1,1,192.168.0.1,30,2020-04-10 06:33:37.603,289.13,309.09,309.09,64,1577,1,8.74,8.74,False
64,12,1,1,192.168.0.1,30,2020-04-10 06:33:37.603,289.13,309.09,309.09,65,628,1,3.74,3.74,False
65,12,1,1,192.168.0.1,30,2020-04-10 06:33:37.603,289.13,309.09,309.09,66,1581,1,4.36,4.36,False
66,12,1,1,192.168.0.1,30,2020-04-10 06:33:37.603,289.13,309.09,309.09,67,963,1,8.74,8.74,False
67,13,1,1,192.168.0.1,30,2020-04-12 05:32:46.913,289.13,309.09,324.54,68,537,2,3.51,3.11,False
68,13,1,1,192.168.0.1,30,2020-04-12 05:32:46.913,289.13,309.09,324.54,69,2033,1,2.02,1.79,False
69,13,1,1,192.168.0.1,30,2020-04-12 05:32:46.913,289.13,309.09,324.54,70,1706,7,1.24,1.24,False
70,13,1,1,192.168.0.1,30,2020-04-12 05:32:46.913,289.13,309.09,324.54,71,1716,2,10.84,9.59,False
71,13,1,1,192.168.0.1,30,2020-04-12 05:32:46.913,289.13,309.09,324.54,72,2293,25,4.06,3.59,False
72,13,1,1,192.168.0.1,30,2020-04-12 05:32:46.913,289.13,309.09,324.54,73,532,1,2.49,2.49,False
73,13,1,1,192.168.0.1,30,2020-04-12 05:32:46.913,289.13,309.09,324.54,74,60,1,4.36,4.36,False
74,13,1,1,192.168.0.1,30,2020-04-12 05:32:46.913,289.13,309.09,324.54,75,673,1,12.49,12.49,False
75,13,1,1,192.168.0.1,30,2020-04-12 05:32:46.913,289.13,309.09,324.54,76,652,1,12.49,12.49,False
76,13,1,1,192.168.0.1,30,2020-04-12 05:32:46.913,289.13,309.09,324.54,77,1051,1,9.99,9.99,False
77,13,1,1,192.168.0.1,30,2020-04-12 05:32:46.913,289.13,309.09,324.54,78,1150,1,9.36,9.36,False
78,13,1,1,192.168.0.1,30,2020-04-12 05:32:46.913,289.13,309.09,324.54,79,1807,1,1.36,1.36,False
79,13,1,1,192.168.0.1,30,2020-04-12 05:32:46.913,289.13,309.09,324.54,80,1394,1,1.36,1.36,False
80,13,1,1,192.168.0.1,30,2020-04-12 05:32:46.913,289.13,309.09,324.54,81,1673,1,16.24,16.24,False
81,13,1,1,192.168.0.1,30,2020-04-12 05:32:46.913,289.13,309.09,324.54,82,462,1,9.99,9.99,False
82,13,1,1,192.168.0.1,30,2020-04-12 05:32:46.913,289.13,309.09,324.54,83,1201,1,5.41,4.79,False
83,13,1,1,192.168.0.1,30,2020-04-12 05:32:46.913,289.13,309.09,324.54,84,456,1,3.51,3.11,False
84,13,1,1,192.168.0.1,30,2020-04-12 05:32:46.913,289.13,309.09,324.54,85,472,1,3.51,3.11,False
85,13,1,1,192.168.0.1,30,2020-04-12 05:32:46.913,289.13,309.09,324.54,86,1932,1,7.85,6.95,False
86,13,1,1,192.168.0.1,30,2020-04-12 05:32:46.913,289.13,309.09,324.54,87,2253,1,5.41,4.79,False
87,13,1,1,192.168.0.1,30,2020-04-12 05:32:46.913,289.13,309.09,324.54,88,1992,1,4.06,3.59,False
88,13,1,1,192.168.0.1,30,2020-04-12 05:32:46.913,289.13,309.09,324.54,89,1105,1,6.77,5.99,False
89,13,1,1,192.168.0.1,30,2020-04-12 05:32:46.913,289.13,309.09,324.54,90,967,1,3.51,3.11,False
90,13,1,1,192.168.0.1,30,2020-04-12 05:32:46.913,289.13,309.09,324.54,91,1846,1,1.34,1.19,False
91,13,1,1,192.168.0.1,30,2020-04-12 05:32:46.913,289.13,309.09,324.54,92,539,2,3.11,3.11,False
92,13,1,1,192.168.0.1,30,2020-04-12 05:32:46.913,289.13,309.09,324.54,93,169,1,4.99,4.99,False
93,13,1,1,192.168.0.1,30,2020-04-12 05:32:46.913,289.13,309.09,324.54,94,801,1,1.86,1.86,False
94,13,1,1,192.168.0.1,30,2020-04-12 05:32:46.913,289.13,309.09,324.54,95,431,1,5.61,5.61,False
95,13,1,1,192.168.0.1,30,2020-04-12 05:32:46.913,289.13,309.09,324.54,96,1585,1,2.49,2.49,False
96,13,1,1,192.168.0.1,30,2020-04-12 05:32:46.913,289.13,309.09,324.54,97,1577,1,8.74,8.74,False
97,13,1,1,192.168.0.1,30,2020-04-12 05:32:46.913,289.13,309.09,324.54,98,628,1,3.74,3.74,False
98,13,1,1,192.168.0.1,30,2020-04-12 05:32:46.913,289.13,309.09,324.54,99,1581,1,4.36,4.36,False
99,13,1,1,192.168.0.1,30,2020-04-12 05:32:46.913,289.13,309.09,324.54,100,963,1,8.74,8.74,False
100,14,1,1,192.168.0.1,30,2020-04-12 05:35:24.740,289.13,309.09,324.54,101,537,2,3.51,3.11,False
101,14,1,1,192.168.0.1,30,2020-04-12 05:35:24.740,289.13,309.09,324.54,102,2033,1,2.02,1.79,False
102,14,1,1,192.168.0.1,30,2020-04-12 05:35:24.740,289.13,309.09,324.54,103,1706,7,1.24,1.24,False
103,14,1,1,192.168.0.1,30,2020-04-12 05:35:24.740,289.13,309.09,324.54,104,1716,2,10.84,9.59,False
104,14,1,1,192.168.0.1,30,2020-04-12 05:35:24.740,289.13,309.09,324.54,105,2293,25,4.06,3.59,False
105,14,1,1,192.168.0.1,30,2020-04-12 05:35:24.740,289.13,309.09,324.54,106,532,1,2.49,2.49,False
106,14,1,1,192.168.0.1,30,2020-04-12 05:35:24.740,289.13,309.09,324.54,107,60,1,4.36,4.36,False
107,14,1,1,192.168.0.1,30,2020-04-12 05:35:24.740,289.13,309.09,324.54,108,673,1,12.49,12.49,False
108,14,1,1,192.168.0.1,30,2020-04-12 05:35:24.740,289.13,309.09,324.54,109,652,1,12.49,12.49,False
109,14,1,1,192.168.0.1,30,2020-04-12 05:35:24.740,289.13,309.09,324.54,110,1051,1,9.99,9.99,False
110,14,1,1,192.168.0.1,30,2020-04-12 05:35:24.740,289.13,309.09,324.54,111,1150,1,9.36,9.36,False
111,14,1,1,192.168.0.1,30,2020-04-12 05:35:24.740,289.13,309.09,324.54,112,1807,1,1.36,1.36,False
112,14,1,1,192.168.0.1,30,2020-04-12 05:35:24.740,289.13,309.09,324.54,113,1394,1,1.36,1.36,False
113,14,1,1,192.168.0.1,30,2020-04-12 05:35:24.740,289.13,309.09,324.54,114,1673,1,16.24,16.24,False
114,14,1,1,192.168.0.1,30,2020-04-12 05:35:24.740,289.13,309.09,324.54,115,462,1,9.99,9.99,False
115,14,1,1,192.168.0.1,30,2020-04-12 05:35:24.740,289.13,309.09,324.54,116,1201,1,5.41,4.79,False
116,14,1,1,192.168.0.1,30,2020-04-12 05:35:24.740,289.13,309.09,324.54,117,456,1,3.51,3.11,False
117,14,1,1,192.168.0.1,30,2020-04-12 05:35:24.740,289.13,309.09,324.54,118,472,1,3.51,3.11,False
118,14,1,1,192.168.0.1,30,2020-04-12 05:35:24.740,289.13,309.09,324.54,119,1932,1,7.85,6.95,False
119,14,1,1,192.168.0.1,30,2020-04-12 05:35:24.740,289.13,309.09,324.54,120,2253,1,5.41,4.79,False
120,14,1,1,192.168.0.1,30,2020-04-12 05:35:24.740,289.13,309.09,324.54,121,1992,1,4.06,3.59,False
121,14,1,1,192.168.0.1,30,2020-04-12 05:35:24.740,289.13,309.09,324.54,122,1105,1,6.77,5.99,False
122,14,1,1,192.168.0.1,30,2020-04-12 05:35:24.740,289.13,309.09,324.54,123,967,1,3.51,3.11,False
123,14,1,1,192.168.0.1,30,2020-04-12 05:35:24.740,289.13,309.09,324.54,124,1846,1,1.34,1.19,False
124,14,1,1,192.168.0.1,30,2020-04-12 05:35:24.740,289.13,309.09,324.54,125,539,2,3.11,3.11,False
125,14,1,1,192.168.0.1,30,2020-04-12 05:35:24.740,289.13,309.09,324.54,126,169,1,4.99,4.99,False
126,14,1,1,192.168.0.1,30,2020-04-12 05:35:24.740,289.13,309.09,324.54,127,801,1,1.86,1.86,False
127,14,1,1,192.168.0.1,30,2020-04-12 05:35:24.740,289.13,309.09,324.54,128,431,1,5.61,5.61,False
128,14,1,1,192.168.0.1,30,2020-04-12 05:35:24.740,289.13,309.09,324.54,129,1585,1,2.49,2.49,False
129,14,1,1,192.168.0.1,30,2020-04-12 05:35:24.740,289.13,309.09,324.54,130,1577,1,8.74,8.74,False
130,14,1,1,192.168.0.1,30,2020-04-12 05:35:24.740,289.13,309.09,324.54,131,628,1,3.74,3.74,False
131,14,1,1,192.168.0.1,30,2020-04-12 05:35:24.740,289.13,309.09,324.54,132,1581,1,4.36,4.36,False
132,14,1,1,192.168.0.1,30,2020-04-12 05:35:24.740,289.13,309.09,324.54,133,963,1,8.74,8.74,False
133,15,1,1,192.168.0.1,30,2020-04-12 05:37:11.337,289.13,309.09,324.54,134,537,2,3.51,3.11,False
134,15,1,1,192.168.0.1,30,2020-04-12 05:37:11.337,289.13,309.09,324.54,135,2033,1,2.02,1.79,False
135,15,1,1,192.168.0.1,30,2020-04-12 05:37:11.337,289.13,309.09,324.54,136,1706,7,1.24,1.24,False
136,15,1,1,192.168.0.1,30,2020-04-12 05:37:11.337,289.13,309.09,324.54,137,1716,2,10.84,9.59,False
137,15,1,1,192.168.0.1,30,2020-04-12 05:37:11.337,289.13,309.09,324.54,138,2293,25,4.06,3.59,False
138,15,1,1,192.168.0.1,30,2020-04-12 05:37:11.337,289.13,309.09,324.54,139,532,1,2.49,2.49,False
139,15,1,1,192.168.0.1,30,2020-04-12 05:37:11.337,289.13,309.09,324.54,140,60,1,4.36,4.36,False
140,15,1,1,192.168.0.1,30,2020-04-12 05:37:11.337,289.13,309.09,324.54,141,673,1,12.49,12.49,False
141,15,1,1,192.168.0.1,30,2020-04-12 05:37:11.337,289.13,309.09,324.54,142,652,1,12.49,12.49,False
142,15,1,1,192.168.0.1,30,2020-04-12 05:37:11.337,289.13,309.09,324.54,143,1051,1,9.99,9.99,False
143,15,1,1,192.168.0.1,30,2020-04-12 05:37:11.337,289.13,309.09,324.54,144,1150,1,9.36,9.36,False
144,15,1,1,192.168.0.1,30,2020-04-12 05:37:11.337,289.13,309.09,324.54,145,1807,1,1.36,1.36,False
145,15,1,1,192.168.0.1,30,2020-04-12 05:37:11.337,289.13,309.09,324.54,146,1394,1,1.36,1.36,False
146,15,1,1,192.168.0.1,30,2020-04-12 05:37:11.337,289.13,309.09,324.54,147,1673,1,16.24,16.24,False
147,15,1,1,192.168.0.1,30,2020-04-12 05:37:11.337,289.13,309.09,324.54,148,462,1,9.99,9.99,False
148,15,1,1,192.168.0.1,30,2020-04-12 05:37:11.337,289.13,309.09,324.54,149,1201,1,5.41,4.79,False
149,15,1,1,192.168.0.1,30,2020-04-12 05:37:11.337,289.13,309.09,324.54,150,456,1,3.51,3.11,False
150,15,1,1,192.168.0.1,30,2020-04-12 05:37:11.337,289.13,309.09,324.54,151,472,1,3.51,3.11,False
151,15,1,1,192.168.0.1,30,2020-04-12 05:37:11.337,289.13,309.09,324.54,152,1932,1,7.85,6.95,False
152,15,1,1,192.168.0.1,30,2020-04-12 05:37:11.337,289.13,309.09,324.54,153,2253,1,5.41,4.79,False
153,15,1,1,192.168.0.1,30,2020-04-12 05:37:11.337,289.13,309.09,324.54,154,1992,1,4.06,3.59,False
154,15,1,1,192.168.0.1,30,2020-04-12 05:37:11.337,289.13,309.09,324.54,155,1105,1,6.77,5.99,False
155,15,1,1,192.168.0.1,30,2020-04-12 05:37:11.337,289.13,309.09,324.54,156,967,1,3.51,3.11,False
156,15,1,1,192.168.0.1,30,2020-04-12 05:37:11.337,289.13,309.09,324.54,157,1846,1,1.34,1.19,False
157,15,1,1,192.168.0.1,30,2020-04-12 05:37:11.337,289.13,309.09,324.54,158,539,2,3.11,3.11,False
158,15,1,1,192.168.0.1,30,2020-04-12 05:37:11.337,289.13,309.09,324.54,159,169,1,4.99,4.99,False
159,15,1,1,192.168.0.1,30,2020-04-12 05:37:11.337,289.13,309.09,324.54,160,801,1,1.86,1.86,False
160,15,1,1,192.168.0.1,30,2020-04-12 05:37:11.337,289.13,309.09,324.54,161,431,1,5.61,5.61,False
161,15,1,1,192.168.0.1,30,2020-04-12 05:37:11.337,289.13,309.09,324.54,162,1585,1,2.49,2.49,False
162,15,1,1,192.168.0.1,30,2020-04-12 05:37:11.337,289.13,309.09,324.54,163,1577,1,8.74,8.74,False
163,15,1,1,192.168.0.1,30,2020-04-12 05:37:11.337,289.13,309.09,324.54,164,628,1,3.74,3.74,False
164,15,1,1,192.168.0.1,30,2020-04-12 05:37:11.337,289.13,309.09,324.54,165,1581,1,4.36,4.36,False
165,15,1,1,192.168.0.1,30,2020-04-12 05:37:11.337,289.13,309.09,324.54,166,963,1,8.74,8.74,False
166,16,1,1,192.168.0.1,30,2020-04-12 05:39:11.117,289.13,309.09,324.54,167,537,2,3.51,3.11,False
167,16,1,1,192.168.0.1,30,2020-04-12 05:39:11.117,289.13,309.09,324.54,168,2033,1,2.02,1.79,False
168,16,1,1,192.168.0.1,30,2020-04-12 05:39:11.117,289.13,309.09,324.54,169,1706,7,1.24,1.24,False
169,16,1,1,192.168.0.1,30,2020-04-12 05:39:11.117,289.13,309.09,324.54,170,1716,2,10.84,9.59,False
170,16,1,1,192.168.0.1,30,2020-04-12 05:39:11.117,289.13,309.09,324.54,171,2293,25,4.06,3.59,False
171,16,1,1,192.168.0.1,30,2020-04-12 05:39:11.117,289.13,309.09,324.54,172,532,1,2.49,2.49,False
172,16,1,1,192.168.0.1,30,2020-04-12 05:39:11.117,289.13,309.09,324.54,173,60,1,4.36,4.36,False
173,16,1,1,192.168.0.1,30,2020-04-12 05:39:11.117,289.13,309.09,324.54,174,673,1,12.49,12.49,False
174,16,1,1,192.168.0.1,30,2020-04-12 05:39:11.117,289.13,309.09,324.54,175,652,1,12.49,12.49,False
175,16,1,1,192.168.0.1,30,2020-04-12 05:39:11.117,289.13,309.09,324.54,176,1051,1,9.99,9.99,False
176,16,1,1,192.168.0.1,30,2020-04-12 05:39:11.117,289.13,309.09,324.54,177,1150,1,9.36,9.36,False
177,16,1,1,192.168.0.1,30,2020-04-12 05:39:11.117,289.13,309.09,324.54,178,1807,1,1.36,1.36,False
178,16,1,1,192.168.0.1,30,2020-04-12 05:39:11.117,289.13,309.09,324.54,179,1394,1,1.36,1.36,False
179,16,1,1,192.168.0.1,30,2020-04-12 05:39:11.117,289.13,309.09,324.54,180,1673,1,16.24,16.24,False
180,16,1,1,192.168.0.1,30,2020-04-12 05:39:11.117,289.13,309.09,324.54,181,462,1,9.99,9.99,False
181,16,1,1,192.168.0.1,30,2020-04-12 05:39:11.117,289.13,309.09,324.54,182,1201,1,5.41,4.79,False
182,16,1,1,192.168.0.1,30,2020-04-12 05:39:11.117,289.13,309.09,324.54,183,456,1,3.51,3.11,False
183,16,1,1,192.168.0.1,30,2020-04-12 05:39:11.117,289.13,309.09,324.54,184,472,1,3.51,3.11,False
184,16,1,1,192.168.0.1,30,2020-04-12 05:39:11.117,289.13,309.09,324.54,185,1932,1,7.85,6.95,False
185,16,1,1,192.168.0.1,30,2020-04-12 05:39:11.117,289.13,309.09,324.54,186,2253,1,5.41,4.79,False
186,16,1,1,192.168.0.1,30,2020-04-12 05:39:11.117,289.13,309.09,324.54,187,1992,1,4.06,3.59,False
187,16,1,1,192.168.0.1,30,2020-04-12 05:39:11.117,289.13,309.09,324.54,188,1105,1,6.77,5.99,False
188,16,1,1,192.168.0.1,30,2020-04-12 05:39:11.117,289.13,309.09,324.54,189,967,1,3.51,3.11,False
189,16,1,1,192.168.0.1,30,2020-04-12 05:39:11.117,289.13,309.09,324.54,190,1846,1,1.34,1.19,False
190,16,1,1,192.168.0.1,30,2020-04-12 05:39:11.117,289.13,309.09,324.54,191,539,2,3.11,3.11,False
191,16,1,1,192.168.0.1,30,2020-04-12 05:39:11.117,289.13,309.09,324.54,192,169,1,4.99,4.99,False
192,16,1,1,192.168.0.1,30,2020-04-12 05:39:11.117,289.13,309.09,324.54,193,801,1,1.86,1.86,False
193,16,1,1,192.168.0.1,30,2020-04-12 05:39:11.117,289.13,309.09,324.54,194,431,1,5.61,5.61,False
194,16,1,1,192.168.0.1,30,2020-04-12 05:39:11.117,289.13,309.09,324.54,195,1585,1,2.49,2.49,False
195,16,1,1,192.168.0.1,30,2020-04-12 05:39:11.117,289.13,309.09,324.54,196,1577,1,8.74,8.74,False
196,16,1,1,192.168.0.1,30,2020-04-12 05:39:11.117,289.13,309.09,324.54,197,628,1,3.74,3.74,False
197,16,1,1,192.168.0.1,30,2020-04-12 05:39:11.117,289.13,309.09,324.54,198,1581,1,4.36,4.36,False
198,16,1,1,192.168.0.1,30,2020-04-12 05:39:11.117,289.13,309.09,324.54,199,963,1,8.74,8.74,False
199,17,1,1,192.168.0.1,30,2020-04-12 16:17:00.737,6.84,7.24,7.6,200,532,1,2.49,2.49,False
200,17,1,1,192.168.0.1,30,2020-04-12 16:17:00.737,6.84,7.24,7.6,201,1706,1,1.24,1.24,False
201,17,1,1,192.168.0.1,30,2020-04-12 16:17:00.737,6.84,7.24,7.6,202,537,1,3.51,3.11,False
202,18,1,1,99.255.28.25,30,2020-06-01 20:45:14.997,90.88,94.16,105.16,203,652,1,12.49,12.49,False
203,18,1,1,99.255.28.25,30,2020-06-01 20:45:14.997,90.88,94.16,105.16,204,673,1,12.49,12.49,False
204,18,1,1,99.255.28.25,30,2020-06-01 20:45:14.997,90.88,94.16,105.16,205,532,5,2.49,2.49,False
205,18,1,1,99.255.28.25,30,2020-06-01 20:45:14.997,90.88,94.16,105.16,206,1706,1,1.24,1.24,False
206,18,1,1,99.255.28.25,30,2020-06-01 20:45:14.997,90.88,94.16,105.16,207,2829,3,8.83,7.81,False
207,18,1,1,99.255.28.25,30,2020-06-01 20:45:14.997,90.88,94.16,105.16,208,2033,1,2.02,1.79,False
208,18,1,1,99.255.28.25,30,2020-06-01 20:45:14.997,90.88,94.16,105.16,209,3045,1,14.99,14.99,False
209,18,1,1,99.255.28.25,30,2020-06-01 20:45:14.997,90.88,94.16,105.16,210,3149,1,12.0,12.0,False
210,19,1,1,99.255.28.25,30,2020-06-01 20:54:07.377,5.2,5.2,11.75,211,6270,1,5.2,5.2,False
211,21,1,1,99.255.28.25,30,2020-06-07 05:00:08.953,6.29,7.11,13.76,215,2657,1,7.11,6.29,False
212,23,1,1,99.255.28.25,40,2020-06-15 23:57:54.347,52.55,56.24,59.05,217,6270,1,5.2,5.2,False
213,23,1,1,99.255.28.25,40,2020-06-15 23:57:54.347,52.55,56.24,59.05,218,2796,1,17.72,15.68,False
214,23,1,1,99.255.28.25,40,2020-06-15 23:57:54.347,52.55,56.24,59.05,219,2796,1,14.33,12.68,False
215,23,1,1,99.255.28.25,40,2020-06-15 23:57:54.347,52.55,56.24,59.05,220,3161,1,15.99,15.99,False
216,26,4,1,99.255.28.25,30,2020-06-19 15:06:33.420,22.92,22.92,25.91,227,532,8,2.49,2.49,False
217,28,4,1,188.151.18.175,30,2020-06-21 10:59:32.107,11.78,12.25,16.24,229,6270,1,5.2,5.2,False
218,28,4,1,188.151.18.175,30,2020-06-21 10:59:32.107,11.78,12.25,16.24,230,7929,1,4.05,3.58,False
219,29,4,1,99.255.28.25,30,2020-06-21 15:06:57.380,7.78,8.4,11.39,231,7910,2,1.13,1.0,False
220,29,4,1,99.255.28.25,30,2020-06-21 15:06:57.380,7.78,8.4,11.39,232,7907,1,3.14,2.78,False
221,30,4,1,99.255.28.25,30,2020-06-21 15:12:09.697,7.78,8.4,12.39,233,7910,2,1.13,1.0,False
222,30,4,1,99.255.28.25,30,2020-06-21 15:12:09.697,7.78,8.4,12.39,234,7907,1,3.14,2.78,False
